state,crop,profit,,
Jharkhand,Groundnut,1,,
Jharkhand,Mustard,23173,,
Jharkhand,Soyabean,-1,,
Jharkhand,Sunflower,-1,,
Jharkhand,Cotton,-1,,
Jharkhand,Jute,-1,,
Jharkhand,Mesta,1,,
Jharkhand,Sugarcane,390758,,
Karnataka,Rice,54404.4688,,
Karnataka,Jowar,7214.760249,,
Karnataka,Bajra,2645.050607,,
Karnataka,Maize,16669.48958,,
Karnataka,Ragi,9401.761477,,
Karnataka,Wheat,1,,
Karnataka,Barley,-1,,
Karnataka,Gram,1,,
Karnataka,Tur,1,,
Karnataka,Groundnut,3935.212022,,
Karnataka,Mustard,2501.989421,,
Karnataka,Soyabean,2200.158662,,
Karnataka,Sunflower,1,,
Karnataka,Cotton,1,,
Karnataka,Jute,-1,,
Karnataka,Mesta,1,,
Karnataka,Sugarcane,974293.614,,
Kerala,Rice,50972.58333,,
Kerala,Jowar,820,,
Kerala,Bajra,-1,,
Kerala,Maize,-1,,
Kerala,Ragi,3910,,
Kerala,Wheat,-1,,
Kerala,Barley,-1,,
Kerala,Gram,-1,,
Kerala,Tur,-1,,
Kerala,Groundnut,1,,
Kerala,Mustard,-1,,
Kerala,Soyabean,-1,,
Kerala,Sunflower,-1,,
Kerala,Cotton,1,,
Kerala,Jute,-1,,
Kerala,Mesta,-1,,
Kerala,Sugarcane,1071818,,
Madhya Pradesh,Rice,1,,
Madhya Pradesh,Jowar,9730,,
Madhya Pradesh,Bajra,13148,,
Madhya Pradesh,Maize,121.7916667,,
Madhya Pradesh,Ragi,1,,
Madhya Pradesh,Wheat,8658.773077,,
Madhya Pradesh,Barley,648.4,,
Madhya Pradesh,Gram,1,,
Madhya Pradesh,Tur,1,,
Madhya Pradesh,Groundnut,1,,
Madhya Pradesh,Mustard,18666.60417,,
Madhya Pradesh,Soyabean,10137.49333,,
Madhya Pradesh,Sunflower,1,,
Madhya Pradesh,Cotton,1,,
Madhya Pradesh,Jute,-1,,
Madhya Pradesh,Mesta,1,,
Madhya Pradesh,Sugarcane,442646,,
Maharashtra,Rice,42167.23636,,
Maharashtra,Jowar,6616,,
Maharashtra,Bajra,3815,,
Maharashtra,Maize,4620.996,,
Maharashtra,Ragi,2896,,
Maharashtra,Wheat,6362.2,,
Maharashtra,Barley,1,,
Maharashtra,Gram,1,,
Maharashtra,Tur,1,,
Maharashtra,Groundnut,17372.06,,
Maharashtra,Mustard,1,,
Maharashtra,Soyabean,20112.94872,,
Maharashtra,Sunflower,1,,
Maharashtra,Cotton,1,,
Maharashtra,Jute,-1,,
Maharashtra,Mesta,1,,
Maharashtra,Sugarcane,877910,,
Manipur,Rice,23494.92995,,
Manipur,Jowar,-1,,
Manipur,Bajra,-1,,
Manipur,Maize,21427.67198,,
Manipur,Ragi,-1,,
Manipur,Wheat,-1,,
Manipur,Barley,-1,,
Manipur,Gram,-1,,
Manipur,Tur,-1,,
Manipur,Groundnut,-1,,
Manipur,Mustard,1,,
Manipur,Soyabean,-1,,
Manipur,Sunflower,-1,,
Manipur,Cotton,-1,,
Manipur,Jute,-1,,
Manipur,Mesta,-1,,
Manipur,Sugarcane,361944.5397,,
Meghalaya,Rice,11030,,
Meghalaya,Jowar,-1,,
Meghalaya,Bajra,-1,,
Meghalaya,Maize,5780,,
Meghalaya,Ragi,-1,,
Meghalaya,Wheat,3098.75,,
Meghalaya,Barley,-1,,
Meghalaya,Gram,-1,,
Meghalaya,Tur,1,,
Meghalaya,Groundnut,-1,,
Meghalaya,Mustard,1348,,
Meghalaya,Soyabean,1,,
Meghalaya,Sunflower,-1,,
Meghalaya,Cotton,1,,
Meghalaya,Jute,1,,
Meghalaya,Mesta,1,,
Meghalaya,Sugarcane,-1,,
Mizoram,Rice,7210,,
Mizoram,Jowar,-1,,
Mizoram,Bajra,-1,,
Mizoram,Maize,11210,,
Mizoram,Ragi,-1,,
Mizoram,Wheat,-1,,
Mizoram,Barley,-1,,
Mizoram,Gram,-1,,
Mizoram,Tur,-1,,
Mizoram,Groundnut,-1,,
Mizoram,Mustard,3322,,
Mizoram,Soyabean,970.62,,
Mizoram,Sunflower,-1,,
Mizoram,Cotton,1,,
Mizoram,Jute,-1,,
Mizoram,Mesta,-1,,
Mizoram,Sugarcane,24374,,
Nagaland,Rice,8310,,
Nagaland,Jowar,14428,,
Nagaland,Bajra,13573,,
Nagaland,Maize,8135,,
Nagaland,Ragi,-1,,
Nagaland,Wheat,3307,,
Nagaland,Barley,6086.8,,
